protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	4295950336	0	io:CumulatedElectricalEnergyConsumptionIOSystemSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	1	io:TotalElectricalEnergyConsumptionIOSystemSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	2	io:HeatingElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	3	io:DHWElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	4	io:AirConditioningElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	5	io:PlugsElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	6	io:OtherElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	4295950348	7	io:DomesticHotWaterTankComponent	DomesticHotWaterTank	1	WaterHeatingSystem	1
1	4295950348	8	io:ElectricityMeterComponent	AtlanticMultiMeterElectricSensor	1	ElectricitySensor	1
1	4295950348	9	io:EnergyConsumptionSensorsConfigurationComponent	AtlanticMultiMeterElectricConfiguration	1	ElectricitySensor	1
1	4295950348	10	io:EnergyConsumptionSensorsHeatPumpComponent	AtlanticMultiMeterElectricHeatPump	1	ElectricitySensor	1
1	4303355904	0	io:SmokeIOSystemSensor	SmokeSensor	2	SmokeSensor	1
1	4303355906	0	io:SomfySmokeIOSystemSensor	SmokeSensor	2	SmokeSensor	1
1	4303683584	0	io:ContactIOSystemSensor	ContactSensor	2	ContactSensor	1
1	4303683586	0	io:SomfyContactIOSystemSensor	ContactSensor	2	ContactSensor	1
1	4303749120	0	io:OccupancyIOSystemSensor	OccupancySensor	2	OccupancySensor	1
1	4303749122	0	io:SomfyOccupancyIOSystemSensor	OccupancySensor	2	OccupancySensor	1
1	4303880192	0	io:RainIOSystemSensor	RainSensor	2	RainSensor	1
